region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Акмолинская,89176.43186735838,104815.75504541644,110775.70672061734,121361.05996726794,140272.16216034393,168301.80762513893,203006.23716077412,250154.7037328297,300747.3083102998,329732.1723441652,374100.0
Актюбинская,106777.95766720812,117445.49766463804,126640.20833672659,137038.94080996886,156594.87476659584,182923.35011946468,217596.6314446174,274401.33956335456,328926.8854469736,378086.4147888419,404557.0
Алматинская обл.,90445.22444522443,104902.98161715627,110386.85191387963,115101.2711293216,136211.58138736262,168313.0034754479,207591.74505434927,261228.19617188434,295129.9979503913,328535.8185102835,364181.0
Атырауская,225120.65975826525,268440.6355775682,264597.2590791026,293571.7147435898,351102.68256934185,367798.68960189965,406166.3388284496,523209.83731189003,607635.4001595918,633321.4902348665,613062.0
Западно-Казахстанская,116798.26329779292,136675.03888872373,144175.23659803445,153781.8179589936,183914.19934523382,195410.4343413442,226536.56213930834,276191.06150444207,316338.4976088664,350965.24547252216,370882.0
Жамбылская,85298.2002680452,96044.13365013748,100535.94369191241,109420.44791250653,127043.37426280214,156845.64822380216,195922.275890724,234525.66515695152,269124.68571955804,299972.3776478203,327401.0
Карагандинская,113905.40599908253,125704.7805312905,134494.08044938312,149915.54818748613,172239.3405699628,203806.10099668903,240608.44874389746,283802.73033871874,338450.0641025641,380953.47318332375,423278.0
Костанайская,93559.8254947783,107996.79505065047,116640.47676918411,125995.43472065737,145889.53151561774,171318.7116552574,201923.25997933032,250943.22799427016,302598.05454434606,343804.1115812268,384256.0
Кызылординская,106331.80139695118,118963.46363584179,124106.70902206698,130390.60333784764,152085.3792714642,178173.95161308715,212776.68884472872,265737.6721786664,313493.41645147407,344380.88851747516,370513.0
Мангистауская,234007.13396144682,250786.85811974813,259671.664602208,275679.44472606055,294098.741838911,317610.9227769588,349503.3191005609,459952.97486709594,535155.738944964,580946.1830028506,623059.0
Павлодарская,108629.97841144034,122632.83040189176,131708.9083626314,141915.42746691083,160669.90665372793,187427.01250959188,220291.09296371657,273504.84135394875,330078.34637899225,372614.8151733881,417941.0
Северо-Казахстанская,84324.06693700638,97344.35814198547,104138.88649610935,110686.0426900738,130232.73800941945,157496.88151581094,187501.44916924468,227021.50370863706,262247.659438756,293420.58989569935,326679.0
Восточно-Казахстанская,103028.0139641968,118735.97188881757,125911.38646324261,140125.5576912903,162181.9766819732,190286.9774805475,224700.0085330906,287062.97118598584,339853.9043178019,380324.67441296054,416781.0
Астана,189969.92149910046,212847.62930706335,227003.35750789836,240319.85662870965,266796.2144018065,302503.80203150527,344690.988219566,406919.5513688876,480449.4089123732,538009.367398066,594164.0
Алматы,161845.26776082517,178678.40328177388,190874.97795572857,200918.87487751886,224158.07914262157,247950.55616738126,295984.9896636267,354859.71844477515,426273.17489727243,490962.6468439424,556063.0
